F,Altitude,Country,Fragmentation_Devices,Fragmentation_Devices_Type,Fragmentation_Devices_Weight,Fragmentation_Devices_Weight_Tons,High_Explosives,High_Explosives_Type,High_Explosives_Weight,High_Explosives_Weight_Tons,Incendiary_Devices,Incendiary_Devices_Type,Incendiary_Devices_Weight,Incendiary_Devices_Weight_Tons,Mission_Date,Mission_ID,Takeoff_Base,Takeoff_Latitude,Takeoff_Location,Takeoff_Longitude,Target_City,Target_Country,Target_Latitude,Target_Longitude,Theater_of_Operations,Total_Weight,Total_Weight_Tons
LYSANDER,0,GREAT BRITAIN,,,,,,,,,,,,,3/30/1941,79602,GORDON'S TREE,15.5333,SUDAN,32.5,ASMARA,,15.33,38.93,EAST AFRICA,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/2/1941,79661,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,MERSA BREGA - JEDABYA RD.,LIBYA,30.44,19.67,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/2/1941,79662,SHALLUFA,30.2469,EGYPT,32.4923,MERSA BREGA & NOFILIA,LIBYA,30.44,19.67,MTO,,0
LIB,,GREAT BRITAIN,,,,0,,,,,,,,0,4/19/1944,79908,"""TORTORELLA, FOGGIA""",4248,ITALY,1355,ELBA,ITALY,42.75,10.17,MTO,,2
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/4/1941,80002,SHALLUFA,30.2469,EGYPT,32.4923,JEDABYA - RAS LANUF,LIBYA,30.76,20.23,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/4/1941,80003,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,MSUS,LIBYA,31.58,21.02,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/5/1941,80012,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,MARBLE ARCH L.G.,LIBYA,30.46,18.56,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/5/1941,80013,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,TECASIS,LIBYA,32.22,21.4,MTO,,0
BLEN,,GREAT BRITAIN,,,,0,,,,,,,,0,4/5/1941,80014,GAMBUT (LG 88?),30.98472222,EGYPT,29.85138889,TOCRA,LIBYA,26.34,17.23,MTO,,0
WELL,,GREAT BRITAIN,,,,0,,,,,,,,0,4/6/1941,80032,SHALLUFA,30.2469,EGYPT,32.4923,AGHEILA ROAD,LIBYA,30.27,19.2,MTO,,0
